employee_id,age,department,salary,years_experience,remote,hired_date
E001,29,Engineering,"$95,000",6,yes,2019-04-12
E002,34,engineering,105000,9,no,2017-09-01
E003,41,Sales,"$72,500",12,yes,2014-02-18
E004,25,Marketing,58000,3,no,2022-06-30
E005,38,HR,N/A,11,yes,2015-11-07
E006,52,Sales,"$88,000",20,no,2008-03-21
E007,27,Engineering,"$85,000",5,yes,2020-01-15
E008,44,Marketing,"62,000",15,no,2012-08-10
E009,31,HR,54000,7,yes,2018-05-23
E010,15,Sales,45000,1,no,2023-01-01
E011,60,Engineering,,30,no,1996-10-05
E012,36,Engineering,"$110,000",10,yes,2016-12-12
E013,48,Sales,92000,18,yes,2009-07-19
E014,28,Marketing,"$57,000",4,no,2021-03-02
E015,83,HR,51000,40,no,1985-09-09
E016,33,Sales,"$75,000",8,yes,2018-02-20
E017,39,Engineering,"$99,500",13,no,2013-11-11
E018,26,Marketing,not_available,2,yes,2023-06-01
E019,45,HR,"$59,000",16,no,2010-04-17
E020,30,Engineering,"$0",7,yes,2017-01-29
